"filename", "language", "C#", "UnityShader", "XML", "JSON", "Markdown", "comment", "blank", "total"
"c:\Users\karen\Armor Echo\Assets\AssetsFromUS\JMO Assets\WarFX\Shaders\WFX_S Alpha-Specular TintColor.shader", "UnityShader", 0, -36, 0, 0, 0, -2, -8, -46
"c:\Users\karen\Armor Echo\Assets\AssetsFromUS\JMO Assets\WarFX\Shaders\WFX_S AlphaBlend NoSoftParticles.shader", "UnityShader", 0, -60, 0, 0, 0, -2, -11, -73
"c:\Users\karen\Armor Echo\Assets\AssetsFromUS\JMO Assets\WarFX\Shaders\WFX_S AlphaBlend Scroll.shader", "UnityShader", 0, -80, 0, 0, 0, -4, -14, -98
"c:\Users\karen\Armor Echo\Assets\AssetsFromUS\JMO Assets\WarFX\Shaders\WFX_S Multiply Soft Scroll.shader", "UnityShader", 0, -56, 0, 0, 0, -5, -12, -73
"c:\Users\karen\Armor Echo\Assets\AssetsFromUS\JMO Assets\WarFX\Shaders\WFX_S Multiply Soft.shader", "UnityShader", 0, -53, 0, 0, 0, -7, -11, -71
"c:\Users\karen\Armor Echo\Assets\AssetsFromUS\JMO Assets\WarFX\Shaders\WFX_S Particle Add A8.shader", "UnityShader", 0, -86, 0, 0, 0, -5, -16, -107
"c:\Users\karen\Armor Echo\Assets\AssetsFromUS\JMO Assets\WarFX\Shaders\WFX_S Particle AddSoft A8.shader", "UnityShader", 0, -86, 0, 0, 0, -5, -16, -107
"c:\Users\karen\Armor Echo\Assets\AssetsFromUS\JMO Assets\WarFX\Shaders\WFX_S Particle Multiply A8.shader", "UnityShader", 0, -87, 0, 0, 0, -5, -16, -108
"c:\Users\karen\Armor Echo\Assets\AssetsFromUS\JMO Assets\WarFX\Shaders\WFX_S Smoke Scroll.shader", "UnityShader", 0, -58, 0, 0, 0, -5, -12, -75
"c:\Users\karen\Armor Echo\Assets\AssetsFromUS\JMO Assets\WarFX\Spawn System\CFX_SpawnSystem.cs", "C#", -147, 0, 0, 0, 0, -46, -35, -228
"c:\Users\karen\Armor Echo\Assets\AssetsFromUS\Mountain Terrain rocks and tree\Script\Camera\CameraControl.cs", "C#", -54, 0, 0, 0, 0, -6, -24, -84
"c:\Users\karen\Armor Echo\Assets\AssetsFromUS\Mountain Terrain rocks and tree\Script\Camera\FlyCameraControl.cs", "C#", -50, 0, 0, 0, 0, -8, -14, -72
"c:\Users\karen\Armor Echo\Assets\AssetsFromUS\Simple Water Shader\Info\Scripts\Editor\ReadmeEditor.cs", "C#", -126, 0, 0, 0, 0, -1, -32, -159
"c:\Users\karen\Armor Echo\Assets\AssetsFromUS\Simple Water Shader\Info\Scripts\Readme.cs", "C#", -12, 0, 0, 0, 0, 0, -3, -15
"c:\Users\karen\Armor Echo\Assets\AssetsFromUS\Simple Water Shader\Resources\WaterReflection.cs", "C#", -67, 0, 0, 0, 0, -8, -18, -93
"c:\Users\karen\Armor Echo\Assets\AssetsFromUS\WW2 Armed Forces Demo\Scripts\Roll_Wheels.cs", "C#", -12, 0, 0, 0, 0, -4, -7, -23
"c:\Users\karen\Armor Echo\Assets\AssetsFromUS\WW2 Armed Forces Demo\Scripts\Scroll_Track.cs", "C#", -16, 0, 0, 0, 0, 0, -6, -22
"c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.DependencyInjection.9.0.0\Microsoft.Extensions.DependencyInjection.nuspec", "XML", 0, 0, -39, 0, 0, 0, 0, -39
"c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.DependencyInjection.9.0.0\PACKAGE.md", "Markdown", 0, 0, 0, 0, -41, 0, -10, -51
"c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.DependencyInjection.9.0.0\buildTransitive\net461\Microsoft.Extensions.DependencyInjection.targets", "XML", 0, 0, -6, 0, 0, 0, -1, -7
"c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.DependencyInjection.9.0.0\buildTransitive\netcoreapp2.0\Microsoft.Extensions.DependencyInjection.targets", "XML", 0, 0, -6, 0, 0, 0, -1, -7
"c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.DependencyInjection.9.0.0\lib\netstandard2.1\Microsoft.Extensions.DependencyInjection.xml", "XML", 0, 0, -599, 0, 0, 0, -6, -605
"c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.DependencyInjection.Abstractions.9.0.0\Microsoft.Extensions.DependencyInjection.Abstractions.nuspec", "XML", 0, 0, -33, 0, 0, 0, -1, -34
"c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.DependencyInjection.Abstractions.9.0.0\PACKAGE.md", "Markdown", 0, 0, 0, 0, -28, 0, -7, -35
"c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.DependencyInjection.Abstractions.9.0.0\buildTransitive\net461\Microsoft.Extensions.DependencyInjection.Abstractions.targets", "XML", 0, 0, -6, 0, 0, 0, -1, -7
"c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.DependencyInjection.Abstractions.9.0.0\buildTransitive\netcoreapp2.0\Microsoft.Extensions.DependencyInjection.Abstractions.targets", "XML", 0, 0, -6, 0, 0, 0, -1, -7
"c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.DependencyInjection.Abstractions.9.0.0\lib\netstandard2.1\Microsoft.Extensions.DependencyInjection.Abstractions.xml", "XML", 0, 0, -2470, 0, 0, 0, -6, -2476
"c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.Logging.9.0.0\Microsoft.Extensions.Logging.nuspec", "XML", 0, 0, -51, 0, 0, 0, 0, -51
"c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.Logging.9.0.0\PACKAGE.md", "Markdown", 0, 0, 0, 0, -100, -7, -39, -146
"c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.Logging.9.0.0\buildTransitive\net461\Microsoft.Extensions.Logging.targets", "XML", 0, 0, -6, 0, 0, 0, -1, -7
"c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.Logging.9.0.0\buildTransitive\netcoreapp2.0\Microsoft.Extensions.Logging.targets", "XML", 0, 0, -6, 0, 0, 0, -1, -7
"c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.Logging.9.0.0\lib\netstandard2.1\Microsoft.Extensions.Logging.xml", "XML", 0, 0, -611, 0, 0, 0, -1, -612
"c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.Logging.Abstractions.9.0.0\Microsoft.Extensions.Logging.Abstractions.nuspec", "XML", 0, 0, -47, 0, 0, 0, -1, -48
"c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.Logging.Abstractions.9.0.0\PACKAGE.md", "Markdown", 0, 0, 0, 0, -111, -7, -46, -164
"c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.Logging.Abstractions.9.0.0\buildTransitive\net461\Microsoft.Extensions.Logging.Abstractions.targets", "XML", 0, 0, -6, 0, 0, 0, -1, -7
"c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.Logging.Abstractions.9.0.0\buildTransitive\net462\Microsoft.Extensions.Logging.Abstractions.targets", "XML", 0, 0, -24, 0, 0, -2, -6, -32
"c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.Logging.Abstractions.9.0.0\buildTransitive\net8.0\Microsoft.Extensions.Logging.Abstractions.targets", "XML", 0, 0, -24, 0, 0, -2, -6, -32
"c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.Logging.Abstractions.9.0.0\buildTransitive\netcoreapp2.0\Microsoft.Extensions.Logging.Abstractions.targets", "XML", 0, 0, -6, 0, 0, 0, -1, -7
"c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.Logging.Abstractions.9.0.0\buildTransitive\netstandard2.0\Microsoft.Extensions.Logging.Abstractions.targets", "XML", 0, 0, -24, 0, 0, -2, -6, -32
"c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.Logging.Abstractions.9.0.0\lib\netstandard2.0\Microsoft.Extensions.Logging.Abstractions.xml", "XML", 0, 0, -1535, 0, 0, 0, -3, -1538
"c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.Options.9.0.0\Microsoft.Extensions.Options.nuspec", "XML", 0, 0, -46, 0, 0, 0, 0, -46
"c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.Options.9.0.0\PACKAGE.md", "Markdown", 0, 0, 0, 0, -127, 0, -43, -170
"c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.Options.9.0.0\buildTransitive\net461\Microsoft.Extensions.Options.targets", "XML", 0, 0, -6, 0, 0, 0, -1, -7
"c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.Options.9.0.0\buildTransitive\net462\Microsoft.Extensions.Options.targets", "XML", 0, 0, -24, 0, 0, -2, -6, -32
"c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.Options.9.0.0\buildTransitive\net8.0\Microsoft.Extensions.Options.targets", "XML", 0, 0, -24, 0, 0, -2, -6, -32
"c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.Options.9.0.0\buildTransitive\netcoreapp2.0\Microsoft.Extensions.Options.targets", "XML", 0, 0, -6, 0, 0, 0, -1, -7
"c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.Options.9.0.0\buildTransitive\netstandard2.0\Microsoft.Extensions.Options.targets", "XML", 0, 0, -24, 0, 0, -2, -6, -32
"c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.Options.9.0.0\lib\netstandard2.1\Microsoft.Extensions.Options.xml", "XML", 0, 0, -2335, 0, 0, 0, -6, -2341
"c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.Primitives.9.0.0\Microsoft.Extensions.Primitives.nuspec", "XML", 0, 0, -34, 0, 0, 0, -1, -35
"c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.Primitives.9.0.0\PACKAGE.md", "Markdown", 0, 0, 0, 0, -84, 0, -25, -109
"c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.Primitives.9.0.0\buildTransitive\net461\Microsoft.Extensions.Primitives.targets", "XML", 0, 0, -6, 0, 0, 0, -1, -7
"c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.Primitives.9.0.0\buildTransitive\netcoreapp2.0\Microsoft.Extensions.Primitives.targets", "XML", 0, 0, -6, 0, 0, 0, -1, -7
"c:\Users\karen\Armor Echo\Assets\Packages\Microsoft.Extensions.Primitives.9.0.0\lib\netstandard2.0\Microsoft.Extensions.Primitives.xml", "XML", 0, 0, -1248, 0, 0, 0, -1, -1249
"c:\Users\karen\Armor Echo\Assets\Packages\Serilog.4.3.0\README.md", "Markdown", 0, 0, 0, 0, -84, 0, -36, -120
"c:\Users\karen\Armor Echo\Assets\Packages\Serilog.4.3.0\Serilog.nuspec", "XML", 0, 0, -40, 0, 0, 0, 0, -40
"c:\Users\karen\Armor Echo\Assets\Packages\Serilog.4.3.0\lib\netstandard2.0\Serilog.xml", "XML", 0, 0, -6338, 0, 0, -2, -27, -6367
"c:\Users\karen\Armor Echo\Assets\Packages\Serilog.Extensions.Logging.9.0.2\README.md", "Markdown", 0, 0, 0, 0, -149, 0, -41, -190
"c:\Users\karen\Armor Echo\Assets\Packages\Serilog.Extensions.Logging.9.0.2\Serilog.Extensions.Logging.nuspec", "XML", 0, 0, -43, 0, 0, 0, 0, -43
"c:\Users\karen\Armor Echo\Assets\Packages\Serilog.Extensions.Logging.9.0.2\lib\netstandard2.1\Serilog.Extensions.Logging.xml", "XML", 0, 0, -164, 0, 0, 0, -1, -165
"c:\Users\karen\Armor Echo\Assets\Packages\Serilog.Formatting.Compact.3.0.0\README.md", "Markdown", 0, 0, 0, 0, -117, 0, -45, -162
"c:\Users\karen\Armor Echo\Assets\Packages\Serilog.Formatting.Compact.3.0.0\Serilog.Formatting.Compact.nuspec", "XML", 0, 0, -33, 0, 0, 0, 0, -33
"c:\Users\karen\Armor Echo\Assets\Packages\Serilog.Formatting.Compact.3.0.0\lib\netstandard2.0\Serilog.Formatting.Compact.xml", "XML", 0, 0, -77, 0, 0, 0, -1, -78
"c:\Users\karen\Armor Echo\Assets\Packages\Serilog.Sinks.Async.2.1.0\README.md", "Markdown", 0, 0, 0, 0, -75, 0, -32, -107
"c:\Users\karen\Armor Echo\Assets\Packages\Serilog.Sinks.Async.2.1.0\Serilog.Sinks.Async.nuspec", "XML", 0, 0, -33, 0, 0, 0, 0, -33
"c:\Users\karen\Armor Echo\Assets\Packages\Serilog.Sinks.Async.2.1.0\lib\netstandard2.0\Serilog.Sinks.Async.xml", "XML", 0, 0, -67, 0, 0, 0, -1, -68
"c:\Users\karen\Armor Echo\Assets\Packages\Serilog.Sinks.Console.6.1.1\README.md", "Markdown", 0, 0, 0, 0, -127, 0, -52, -179
"c:\Users\karen\Armor Echo\Assets\Packages\Serilog.Sinks.Console.6.1.1\Serilog.Sinks.Console.nuspec", "XML", 0, 0, -38, 0, 0, 0, 0, -38
"c:\Users\karen\Armor Echo\Assets\Packages\Serilog.Sinks.Console.6.1.1\lib\netstandard2.0\Serilog.Sinks.Console.xml", "XML", 0, 0, -357, 0, 0, 0, -1, -358
"c:\Users\karen\Armor Echo\Assets\Packages\Serilog.Sinks.File.7.0.0\README.md", "Markdown", 0, 0, 0, 0, -140, 0, -72, -212
"c:\Users\karen\Armor Echo\Assets\Packages\Serilog.Sinks.File.7.0.0\Serilog.Sinks.File.nuspec", "XML", 0, 0, -41, 0, 0, 0, 0, -41
"c:\Users\karen\Armor Echo\Assets\Packages\Serilog.Sinks.File.7.0.0\lib\netstandard2.0\Serilog.Sinks.File.xml", "XML", 0, 0, -519, 0, 0, 0, -1, -520
"c:\Users\karen\Armor Echo\Assets\Packages\System.ComponentModel.Annotations.5.0.0\System.ComponentModel.Annotations.nuspec", "XML", 0, 0, -68, 0, 0, 0, -2, -70
"c:\Users\karen\Armor Echo\Assets\Packages\System.ComponentModel.Annotations.5.0.0\lib\netstandard2.1\System.ComponentModel.Annotations.xml", "XML", 0, 0, -1201, 0, 0, 0, -9, -1210
"c:\Users\karen\Armor Echo\Assets\Packages\System.Diagnostics.DiagnosticSource.9.0.0\Sources\ILLink.Descriptors.LibraryBuild.xml", "XML", 0, 0, -7, 0, 0, -1, -1, -9
"c:\Users\karen\Armor Echo\Assets\Packages\System.Diagnostics.DiagnosticSource.9.0.0\System.Diagnostics.DiagnosticSource.nuspec", "XML", 0, 0, -38, 0, 0, 0, -1, -39
"c:\Users\karen\Armor Echo\Assets\Packages\System.Diagnostics.DiagnosticSource.9.0.0\buildTransitive\net461\System.Diagnostics.DiagnosticSource.targets", "XML", 0, 0, -6, 0, 0, 0, -1, -7
"c:\Users\karen\Armor Echo\Assets\Packages\System.Diagnostics.DiagnosticSource.9.0.0\buildTransitive\netcoreapp2.0\System.Diagnostics.DiagnosticSource.targets", "XML", 0, 0, -6, 0, 0, 0, -1, -7
"c:\Users\karen\Armor Echo\Assets\Packages\System.Diagnostics.DiagnosticSource.9.0.0\content\ILLink\ILLink.Descriptors.LibraryBuild.xml", "XML", 0, 0, -7, 0, 0, -1, -1, -9
"c:\Users\karen\Armor Echo\Assets\Packages\System.Diagnostics.DiagnosticSource.9.0.0\lib\netstandard2.0\System.Diagnostics.DiagnosticSource.xml", "XML", 0, 0, -2059, 0, 0, 0, -10, -2069
"c:\Users\karen\Armor Echo\Assets\Packages\System.Threading.Channels.8.0.0\PACKAGE.md", "Markdown", 0, 0, 0, 0, -41, -7, -25, -73
"c:\Users\karen\Armor Echo\Assets\Packages\System.Threading.Channels.8.0.0\System.Threading.Channels.nuspec", "XML", 0, 0, -33, 0, 0, 0, -1, -34
"c:\Users\karen\Armor Echo\Assets\Packages\System.Threading.Channels.8.0.0\buildTransitive\net461\System.Threading.Channels.targets", "XML", 0, 0, -6, 0, 0, 0, -1, -7
"c:\Users\karen\Armor Echo\Assets\Packages\System.Threading.Channels.8.0.0\buildTransitive\netcoreapp2.0\System.Threading.Channels.targets", "XML", 0, 0, -6, 0, 0, 0, -1, -7
"c:\Users\karen\Armor Echo\Assets\Packages\System.Threading.Channels.8.0.0\lib\netstandard2.1\System.Threading.Channels.xml", "XML", 0, 0, -243, 0, 0, 0, 0, -243
"c:\Users\karen\Armor Echo\Assets\Resources\BillingMode.json", "JSON", 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\karen\Armor Echo\Assets\Resources\PerformanceTestRunInfo.json", "JSON", 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\karen\Armor Echo\Assets\Resources\PerformanceTestRunSettings.json", "JSON", 0, 0, 0, -1, 0, 0, 0, -1
"c:\Users\karen\Armor Echo\Assets\Serilog.Sinks.Unity3D\CHANGELOG.md", "Markdown", 0, 0, 0, 0, -4, 0, -1, -5
"c:\Users\karen\Armor Echo\Assets\Serilog.Sinks.Unity3D\ILoggerExtensions.cs", "C#", -8, 0, 0, 0, 0, -10, -2, -20
"c:\Users\karen\Armor Echo\Assets\Serilog.Sinks.Unity3D\Serilog.Sinks.Unity3D.asmdef", "JSON", 0, 0, 0, -16, 0, 0, 0, -16
"c:\Users\karen\Armor Echo\Assets\Serilog.Sinks.Unity3D\Unity3DLogEventSink.cs", "C#", -62, 0, 0, 0, 0, 0, -9, -71
"c:\Users\karen\Armor Echo\Assets\Serilog.Sinks.Unity3D\UnityObjectEnricher.cs", "C#", -14, 0, 0, 0, 0, 0, -5, -19
"c:\Users\karen\Armor Echo\Assets\Serilog.Sinks.Unity3D\UnitySinkExtensions.cs", "C#", -44, 0, 0, 0, 0, -25, -8, -77
"c:\Users\karen\Armor Echo\Assets\Serilog.Sinks.Unity3D\UnityTagEnricher.cs", "C#", -14, 0, 0, 0, 0, 0, -5, -19
"c:\Users\karen\Armor Echo\Assets\Serilog.Sinks.Unity3D\package.json", "JSON", 0, 0, 0, -15, 0, 0, 0, -15
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark01.cs", "C#", -63, 0, 0, 0, 0, -29, -37, -129
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark01_UGUI.cs", "C#", -59, 0, 0, 0, 0, -37, -40, -136
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark02.cs", "C#", -64, 0, 0, 0, 0, -6, -27, -97
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark03.cs", "C#", -72, 0, 0, 0, 0, -1, -19, -92
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\Benchmark04.cs", "C#", -40, 0, 0, 0, 0, -26, -19, -85
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\CameraController.cs", "C#", -196, 0, 0, 0, 0, -25, -69, -290
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\ChatController.cs", "C#", -31, 0, 0, 0, 0, -5, -16, -52
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\DropdownSample.cs", "C#", -15, 0, 0, 0, 0, 0, -5, -20
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\EnvMapAnimator.cs", "C#", -23, 0, 0, 0, 0, -4, -9, -36
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\ObjectSpin.cs", "C#", -49, 0, 0, 0, 0, -4, -13, -66
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\ShaderPropAnimator.cs", "C#", -33, 0, 0, 0, 0, -5, -14, -52
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\SimpleScript.cs", "C#", -23, 0, 0, 0, 0, -15, -20, -58
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\SkewTextExample.cs", "C#", -97, 0, 0, 0, 0, -18, -45, -160
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_DigitValidator.cs", "C#", -18, 0, 0, 0, 0, -5, -4, -27
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_ExampleScript_01.cs", "C#", -34, 0, 0, 0, 0, -9, -19, -62
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_FrameRateCounter.cs", "C#", -90, 0, 0, 0, 0, -11, -33, -134
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_PhoneNumberValidator.cs", "C#", -92, 0, 0, 0, 0, -7, -6, -105
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_TextEventCheck.cs", "C#", -56, 0, 0, 0, 0, -1, -17, -74
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_TextEventHandler.cs", "C#", -172, 0, 0, 0, 0, -36, -56, -264
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_TextInfoDebugTool.cs", "C#", -408, 0, 0, 0, 0, -97, -147, -652
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_TextSelector_A.cs", "C#", -98, 0, 0, 0, 0, -17, -41, -156
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_TextSelector_B.cs", "C#", -246, 0, 0, 0, 0, -191, -107, -544
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\TMP_UiFrameRateCounter.cs", "C#", -95, 0, 0, 0, 0, -1, -28, -124
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\TMPro_InstructionOverlay.cs", "C#", -54, 0, 0, 0, 0, -6, -24, -84
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\TeleType.cs", "C#", -40, 0, 0, 0, 0, -15, -28, -83
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\TextConsoleSimulator.cs", "C#", -79, 0, 0, 0, 0, -13, -31, -123
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\TextMeshProFloatingText.cs", "C#", -133, 0, 0, 0, 0, -32, -57, -222
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\TextMeshSpawner.cs", "C#", -45, 0, 0, 0, 0, -13, -21, -79
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\VertexColorCycler.cs", "C#", -49, 0, 0, 0, 0, -13, -23, -85
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\VertexJitter.cs", "C#", -106, 0, 0, 0, 0, -26, -43, -175
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\VertexShakeA.cs", "C#", -100, 0, 0, 0, 0, -23, -38, -161
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\VertexShakeB.cs", "C#", -113, 0, 0, 0, 0, -29, -43, -185
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\VertexZoom.cs", "C#", -112, 0, 0, 0, 0, -32, -49, -193
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Examples & Extras\Scripts\WarpTextExample.cs", "C#", -90, 0, 0, 0, 0, -15, -41, -146
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Shaders\SDFFunctions.hlsl", "UnityShader", 0, -130, 0, 0, 0, -18, -31, -179
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Custom-Atlas.shader", "UnityShader", 0, -113, 0, 0, 0, -2, -31, -146
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Shaders\TMP_Bitmap-Mobile.shader", "UnityShader", 0, -123, 0, 0, 0, -3, -30, -156
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Shaders\TMP_Bitmap.shader", "UnityShader", 0, -113, 0, 0, 0, -2, -31, -146
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Shaders\TMP_SDF Overlay.shader", "UnityShader", 0, -253, 0, 0, 0, -4, -70, -327
"c:\Users\karen\Armor Echo\Assets\TextMesh Pro\Shaders\TMP_SDF SSD.shader", "UnityShader", 0, -253, 0, 0, 0, -4, -65, -322
